alpha_2_code,language_alpha_2_code,is_administrative
AC,en,NO
AD,ca,YES
AD,en,NO
AD,fr,NO
AE,ar,YES
AE,en,NO
AE,fr,NO
AF,en,NO
AF,fa,YES
AF,fr,NO
AF,ps,YES
AG,en,YES
AG,fr,NO
AI,en,NO
AI,fr,NO
AI,en,YES
AI,fr,NO
AL,en,NO
AL,fr,NO
AL,sq,YES
AM,en,NO
AM,fr,NO
AM,hy,YES
AN,en,NO
AN,fr,NO
AO,en,NO
AO,fr,NO
AO,pt,YES
AP,en,NO
AQ,en,NO
AQ,fr,NO
AR,en,NO
AR,fr,NO
AR,es,YES
AS,en,YES
AS,fr,NO
AT,de,YES
AT,en,NO
AT,fr,NO
AU,en,YES
AU,fr,NO
AW,en,NO
AW,fr,NO
AW,nl,YES
AW,,YES
AX,en,NO
AX,fr,NO
AX,sv,YES
AZ,az,YES
AZ,en,NO
AZ,fr,NO
BA,bs,YES
BA,en,NO
BA,fr,NO
BA,hr,YES
BA,sr,YES
BB,en,YES
BB,fr,NO
BD,bn,YES
BD,en,NO
BD,fr,NO
BE,de,YES
BE,en,NO
BE,fr,YES
BE,nl,YES
BF,en,NO
BF,fr,YES
BG,bg,YES
BG,en,NO
BG,fr,NO
BH,ar,YES
BH,en,NO
BH,fr,NO
BI,en,NO
BI,fr,YES
BI,rn,YES
BJ,en,NO
BJ,fr,YES
BL,en,NO
BL,fr,YES
BM,en,YES
BM,fr,NO
BN,en,YES
BN,fr,NO
BN,ms,YES
BO,en,NO
BO,fr,NO
BO,es,YES
BQ,en,NO
BQ,fr,NO
BQ,en,YES
BQ,fr,NO
BQ,nl,YES
BQ,,YES
BR,en,NO
BR,fr,NO
BR,pt,YES
BS,en,YES
BS,fr,NO
BT,dz,YES
BT,en,NO
BT,fr,NO
BU,en,NO
BU,fr,NO
BV,en,NO
BV,fr,NO
BV,nn,YES
BV,nb,YES
BW,en,YES
BW,fr,NO
BX,en,NO
BY,en,NO
BY,fr,NO
BY,be,YES
BY,en,NO
BY,fr,NO
BY,ru,YES
BZ,en,YES
BZ,fr,NO
CA,en,YES
CA,fr,YES
CC,en,YES
CC,fr,NO
CD,en,NO
CD,fr,YES
CF,en,NO
CF,fr,YES
CF,sg,YES
CG,en,NO
CG,fr,YES
CH,de,YES
CH,en,NO
CH,fr,YES
CH,it,YES
CH,rm,YES
CI,en,NO
CI,fr,YES
CK,en,YES
CK,fr,NO
CL,en,NO
CL,fr,NO
CL,es,YES
CM,en,YES
CM,fr,YES
CN,en,NO
CN,fr,NO
CN,zh,YES
CO,en,NO
CO,fr,NO
CO,es,YES
CP,en,NO
CR,en,NO
CR,fr,NO
CR,es,YES
CS,en,NO
CS,fr,NO
CS,en,NO
CS,fr,NO
CT,en,NO
CT,fr,NO
CU,en,NO
CU,fr,NO
CU,es,YES
CV,en,NO
CV,fr,NO
CV,pt,YES
CW,en,YES
CW,fr,NO
CW,nl,YES
CW,,YES
CX,en,YES
CX,fr,NO
CY,el,YES
CY,en,NO
CY,fr,NO
CY,tr,YES
CZ,cs,YES
CZ,en,NO
CZ,fr,NO
DD,en,NO
DD,fr,NO
DE,de,YES
DE,en,NO
DE,fr,NO
DG,en,NO
DJ,ar,YES
DJ,en,NO
DJ,fr,YES
DK,da,YES
DK,en,NO
DK,fr,NO
DM,en,YES
DM,fr,NO
DO,en,NO
DO,fr,NO
DO,es,YES
DY,en,NO
DY,fr,NO
DY,en,NO
DZ,ar,YES
DZ,en,NO
DZ,fr,NO
EA,en,NO
EC,en,NO
EC,fr,NO
EC,es,YES
EE,en,NO
EE,et,YES
EE,fr,NO
EF,en,NO
EG,ar,YES
EG,en,NO
EG,fr,NO
EH,ar,YES
EH,en,NO
EH,fr,NO
EM,en,NO
EP,en,NO
ER,ar,YES
ER,en,YES
ER,fr,NO
