alpha_2_code,subdivision_category_id,subdivision_code
AD,262,AD-02
AD,262,AD-03
AD,262,AD-04
AD,262,AD-05
AD,262,AD-06
AD,262,AD-07
AD,262,AD-08
AE,199,AE-AJ
AE,199,AE-AZ
AE,199,AE-DU
AE,199,AE-FU
AE,199,AE-RK
AE,199,AE-SH
AE,199,AE-UQ
AF,321,AF-BAL
AF,321,AF-BAM
AF,321,AF-BDG
AF,321,AF-BDS
AF,321,AF-BGL
AF,321,AF-DAY
AF,321,AF-FRA
AF,321,AF-FYB
AF,321,AF-GHA
AF,321,AF-GHO
AF,321,AF-HEL
AF,321,AF-HER
AF,321,AF-JOW
AF,321,AF-KAB
AF,321,AF-KAN
AF,321,AF-KAP
AF,321,AF-KDZ
AF,321,AF-KHO
AF,321,AF-KNR
AF,321,AF-LAG
AF,321,AF-LOG
AF,321,AF-NAN
AF,321,AF-NIM
AF,321,AF-NUR
AF,321,AF-PAN
AF,321,AF-PAR
AF,321,AF-PIA
AF,321,AF-PKA
AF,321,AF-SAM
AF,321,AF-SAR
AF,321,AF-TAK
AF,321,AF-URU
AF,321,AF-WAR
AF,321,AF-ZAB
AG,298,AG-10
AG,298,AG-11
AG,429,AG-03
AG,429,AG-04
AG,429,AG-05
AG,429,AG-06
AG,429,AG-07
AG,429,AG-08
AL,322,AL-01
AL,322,AL-02
AL,322,AL-03
AL,322,AL-04
AL,322,AL-05
AL,322,AL-06
AL,322,AL-07
AL,322,AL-08
AL,322,AL-09
AL,322,AL-10
AL,322,AL-11
AL,322,AL-12
AM,106,AM-AG
AM,106,AM-AR
AM,106,AM-AV
AM,106,AM-GR
AM,106,AM-KT
AM,106,AM-LO
AM,106,AM-SH
AM,106,AM-SU
AM,106,AM-TV
AM,106,AM-VD
AM,189,AM-ER
AO,155,AO-BGO
AO,155,AO-BGU
AO,155,AO-BIE
AO,155,AO-CAB
AO,155,AO-CCU
AO,155,AO-CNN
AO,155,AO-CNO
AO,155,AO-CUS
AO,155,AO-HUA
AO,155,AO-HUI
AO,155,AO-LNO
AO,155,AO-LSU
AO,155,AO-LUA
AO,155,AO-MAL
AO,155,AO-MOX
AO,155,AO-NAM
AO,155,AO-UIG
AO,155,AO-ZAI
AR,107,AR-A
AR,107,AR-B
AR,107,AR-D
AR,107,AR-E
AR,107,AR-F
AR,107,AR-G
AR,107,AR-H
AR,107,AR-J
AR,107,AR-K
AR,107,AR-L
AR,107,AR-M
AR,107,AR-N
AR,107,AR-P
AR,107,AR-Q
AR,107,AR-R
AR,107,AR-S
AR,107,AR-T
AR,107,AR-U
AR,107,AR-V
AR,107,AR-W
AR,107,AR-X
AR,107,AR-Y
AR,107,AR-Z
AR,182,AR-C
AT,392,AT-1
AT,392,AT-2
AT,392,AT-3
AT,392,AT-4
AT,392,AT-5
AT,392,AT-6
AT,392,AT-7
AT,392,AT-8
AT,392,AT-9
AU,324,AU-ACT
AU,324,AU-NT
AU,393,AU-NSW
AU,393,AU-QLD
AU,393,AU-SA
AU,393,AU-TAS
AU,393,AU-VIC
AU,393,AU-WA
AZ,108,AZ-BA
AZ,108,AZ-GA
AZ,108,AZ-LA
AZ,108,AZ-MI
AZ,108,AZ-NA
AZ,108,AZ-SA
AZ,108,AZ-SM
AZ,108,AZ-SR
AZ,108,AZ-XA
AZ,108,AZ-YE
AZ,325,AZ-ABS
AZ,325,AZ-AGA
AZ,325,AZ-AGC
AZ,325,AZ-AGM
AZ,325,AZ-AGS
AZ,325,AZ-AGU
AZ,325,AZ-AST
AZ,325,AZ-BAL
AZ,325,AZ-BAR
AZ,325,AZ-BEY
AZ,325,AZ-BIL
AZ,325,AZ-CAB
AZ,325,AZ-CAL
AZ,325,AZ-DAS
AZ,325,AZ-FUZ
AZ,325,AZ-GAD
AZ,325,AZ-GOR
AZ,325,AZ-GOY
AZ,325,AZ-GYG
AZ,325,AZ-HAC
AZ,325,AZ-IMI
AZ,325,AZ-ISM
AZ,325,AZ-KAL
AZ,325,AZ-KUR
AZ,325,AZ-LAC
AZ,325,AZ-LAN
AZ,325,AZ-LER
AZ,325,AZ-MAS
AZ,325,AZ-NEF
AZ,325,AZ-OGU
AZ,325,AZ-QAB
AZ,325,AZ-QAX
AZ,325,AZ-QAZ
AZ,325,AZ-QBA
AZ,325,AZ-QBI
AZ,325,AZ-QOB
AZ,325,AZ-QUS
AZ,325,AZ-SAB
AZ,325,AZ-SAK
AZ,325,AZ-SAL
AZ,325,AZ-SAT
AZ,325,AZ-SBN
AZ,325,AZ-SIY
AZ,325,AZ-SKR
AZ,325,AZ-SMI
AZ,325,AZ-SMX
AZ,325,AZ-SUS
AZ,325,AZ-TAR
AZ,325,AZ-TOV
AZ,325,AZ-UCA
AZ,325,AZ-XAC
AZ,325,AZ-XCI
AZ,325,AZ-XIZ
AZ,325,AZ-XVD
AZ,325,AZ-YAR
AZ,325,AZ-YEV
AZ,325,AZ-ZAN
AZ,325,AZ-ZAQ
