alpha_2_code,territory_id,language,territory_name
AG,1019,en,Redonda Island
AG,1019,fr,l'Île Redonda
AO,1031,en,Cabinda
AO,1031,fr,Cabinda
AS,1205,en,Swain's Island
AS,1205,fr,l'Île Swains
AS,1216,en,Tutuila
AS,1216,fr,Tutuila
AU,1009,en,Ashmore and Cartier Islands 
AU,1009,fr,Îles Ashmore-et-Cartier
AU,1046,en,Coral Sea Islands 
AU,1046,fr,Îles de la Mer de Corail
AU,1107,en,Lord Howe Island
AU,1107,fr,l'Île Lord Howe
AU,1111,en,Macquarie Island
AU,1111,fr,l'Île Macquarie
BA,1082,en,Herzegovina *
BA,1082,fr,Herzégovine *
BQ,1026,en,Bonaire
BQ,1026,fr,Bonaire
BQ,1161,en,Saba
BQ,1161,fr,Saba
BQ,1167,en,Sint Eustatius 
BQ,1167,fr,Saint-Eustache 
BR,1060,en,Fernando de Noronha Island
BR,1060,fr,l'Île Fernando de Noronha
BR,1123,en,Martim Vaz Islands
BR,1123,fr,les Îles Martim Vaz
BR,1212,en,Trindade Island
BR,1212,fr,l'Île de Trindade
CK,1155,en,Rarotonga
CK,1155,fr,Rarotonga
CL,1053,en,Easter Island
CL,1053,fr,Île de Pâques
CL,1094,en,Juan Fernández Islands
CL,1094,fr, les Îles Juan Fernández
CL,1179,en,Sala y Gómez Island
CL,1179,fr, l'Île Sala y Gómez
CL,1182,en,San Ambrosio Island
CL,1182,fr,l'Île San Ambrosio
CL,1185,en,San Félix Island
CL,1185,fr, l'Île San Félix
CO,1116,en,Malpelo Island
CO,1116,fr,l'Île de Malpelo
CO,1183,en,San Andrés y Providencia Islands
CO,1183,fr,les Îles San Andrés et Providencia
CR,1044,en,Coco Island
CR,1044,fr,l'Île du Coco
CV,1188,en,São Tiago
CV,1188,fr,São Tiago
CV,1189,en,São Vicente
CV,1189,fr,São Vicente
EC,1065,en,Galápagos Islands
EC,1065,fr,les Îles Galápagos
FI,1002,en,Åland Islands
FI,1002,fr,Îles Åland
FJ,1160,en,Rotuma Island
FJ,1160,fr,l'Île de Rotuma
FJ,1219,en,Vanua Levu
FJ,1219,fr,Vanua Levu
FJ,1221,en,Viti Levu
FJ,1221,fr,Viti Levu
FM,1035,en,Caroline Islands 
FM,1035,fr,les Îles Carolines
FM,1042,en, Chuuk
FM,1042,fr,Chuuk
FM,1100,en, Kosrae
FM,1100,fr,Kosrae
FM,1151,en, Pohnpei
FM,1151,fr,Pohnpei
FM,1224,en, Yap
FM,1224,fr,Yap
FR,1043,fr,l'Île Clipperton
FR,1061,fr,France métropolitaine 
GD,1039,en,Carriacou
GD,1039,fr,Carriacou
GD,1076,en,Southern Grenadine Islands
GD,1076,fr,les Îles Grenadines du Sud
GG,1012,en,Alderney Island  
GG,1012,fr,Île d'Aurigny
GG,1028,en,Brecqhou Island 
GG,1028,fr,l'Île Brechou
GG,1030,en,Burhou Island
GG,1030,fr,l'Île Burhou
GG,1074,en,Sark Island  
GG,1074,fr, l'Île de la Grande Sercq
GG,1081,en,Herm Island
GG,1081,fr,l'Île Herm
GG,1090,en,Jethou Island
GG,1090,fr,l'Île Jethou
GG,1104,en,Lihou Island
GG,1104,fr,l'Île Lihou
GG,1106,en,Little Sark Island 
GG,1106,fr,l'Île de la Petite Sercq
GP,1050,en,la Désirade
GP,1050,fr,la Désirade
GP,1119,en,Marie-Galante
GP,1119,fr,Marie-Galante
GP,1166,en,les Saintes
GP,1166,fr,les Saintes
GQ,1006,en,Annobón Island
GQ,1006,fr,l'Île d'Annobón
GQ,1023,en,Bioko Island
GQ,1023,fr,l'Île de Bioko
GQ,1045,en,Continental Region (Rio Muni) 
GQ,1045,fr,Région Continentale (Rio Muni) 
GQ,1158,en,Rio Muni
GQ,1158,fr,Rio Muni
GR,1131,en,Mount Athos autonomous area 
GR,1131,fr,le territoire autonome du Mont Athos
GS,1184,en,South Sandwich Islands  *
GS,1184,fr,"Sandwich du Sud, Îles  *"
HM,1110,en,McDonald Islands  *
HM,1110,fr,"MacDonald, Îles  *"
HN,1049,en,Swan Islands 
HN,1049,fr,les Îles du Cygne
IN,1003,en,Andaman Islands
IN,1003,fr,les Îles Andaman
IN,1101,en,Laccadive Islands 
IN,1101,fr,les Îles Laquedives
IN,1128,en,Minicoy Island
IN,1128,fr, l'Île Minicoy
IN,1138,en,Nicobar Islands
IN,1138,fr,les Îles Nicobar
IN,1226,en,Amindivi Islands
IN,1226,fr,les Îles Amindivi
IO,1040,en,Chagos Archipelago
IO,1040,fr,l'Archipel des Chagos
IO,1051,en,Diego Garcia
IO,1051,fr,Diego Garcia
KI,1000,en,Abariringa
KI,1000,fr,Abariringa
KI,1018,en,Banaba
KI,1018,fr,Banaba
KI,1056,en,Enderbury Island
KI,1056,fr,l'Île Enderbury
KI,1067,en,Gilbert Islands
KI,1067,fr, les Îles Gilbert
KI,1099,en,Kiritimati
KI,1099,fr,Kiritimati
KI,1103,en,part of Line Islands
KI,1103,fr, une partie des Îles de la Ligne
KI,1150,en,Phoenix Islands
KI,1150,fr,les Îles Phoenix
KI,1208,en,Tarawa
KI,1208,fr,Tarawa
KM,1005,en,Anjouan
KM,1005,fr,Anjouan
